Task,Single agent,Swarm,Metric,Source,Source location,Comparison conditions
Multi-text understanding,28.00,40.36,Judge score,https://arxiv.org/html/2608.30661v1,"Table 7, Appendix D.1; metrics in Appendix C.1; v1, 31 August 2026",Haiku 4.5 single agent and orchestrator; heterogeneous workers; 50 examples per task. Single-agent spending is capped at each task's mean swarm cost. Different metrics and axis ranges; no combined accuracy. No comparison intervals are supplied.
Root-cause analysis,3.11,2.00,OpenRCA score,https://arxiv.org/html/2608.30661v1,"Table 7, Appendix D.1; metrics in Appendix C.1; v1, 31 August 2026",Haiku 4.5 single agent and orchestrator; heterogeneous workers; 50 examples per task. Single-agent spending is capped at each task's mean swarm cost. Different metrics and axis ranges; no combined accuracy. No comparison intervals are supplied.
Long-text generation,31.25,40.50,Document-quality composite,https://arxiv.org/html/2608.30661v1,"Table 7, Appendix D.1; metrics in Appendix C.1; v1, 31 August 2026",Haiku 4.5 single agent and orchestrator; heterogeneous workers; 50 examples per task. Single-agent spending is capped at each task's mean swarm cost. Different metrics and axis ranges; no combined accuracy. No comparison intervals are supplied.
Wide search,16.30,19.05,Item F1,https://arxiv.org/html/2608.30661v1,"Table 7, Appendix D.1; metrics in Appendix C.1; v1, 31 August 2026",Haiku 4.5 single agent and orchestrator; heterogeneous workers; 50 examples per task. Single-agent spending is capped at each task's mean swarm cost. Different metrics and axis ranges; no combined accuracy. No comparison intervals are supplied.
