Workflow / measure,Single conversation,Stateless calls,Unit,Source,Source location,Comparison conditions
AFlow / Pass rate,90.5,86.8,Percent,https://arxiv.org/html/2601.12307v1,"Section 4.2.4, Table 4; v1, 18 January 2026","Qwen3 8B on HumanEval; vLLM, 16k context, three-run means. Table 4 reports no uncertainty intervals. Compare execution methods within each workflow. Token budgets are not matched; latency and pass rate have separate axes."
AFlow / Latency,53.53,54.98,Seconds,https://arxiv.org/html/2601.12307v1,"Section 4.2.4, Table 4; v1, 18 January 2026","Qwen3 8B on HumanEval; vLLM, 16k context, three-run means. Table 4 reports no uncertainty intervals. Compare execution methods within each workflow. Token budgets are not matched; latency and pass rate have separate axes."
OneFlow / Pass rate,87.4,87.0,Percent,https://arxiv.org/html/2601.12307v1,"Section 4.2.4, Table 4; v1, 18 January 2026","Qwen3 8B on HumanEval; vLLM, 16k context, three-run means. Table 4 reports no uncertainty intervals. Compare execution methods within each workflow. Token budgets are not matched; latency and pass rate have separate axes."
OneFlow / Latency,4.83,4.31,Seconds,https://arxiv.org/html/2601.12307v1,"Section 4.2.4, Table 4; v1, 18 January 2026","Qwen3 8B on HumanEval; vLLM, 16k context, three-run means. Table 4 reports no uncertainty intervals. Compare execution methods within each workflow. Token budgets are not matched; latency and pass rate have separate axes."
