Requested thinking tokens,Single agent accuracy (%),Sequential agents accuracy (%),Debate accuracy (%),Source,Source location,Comparison conditions
100,29.0,36.4,37.0,https://arxiv.org/html/2604.02460v2,"Table 1, Average rows; v2, 11 April 2026","Table 1 averages over four models × two datasets (FRAMES and MuSiQue). Requested token ceilings, not identical actual consumption. The token axis is logarithmic. Three of the seven evaluated methods are shown."
500,39.0,37.6,38.0,https://arxiv.org/html/2604.02460v2,"Table 1, Average rows; v2, 11 April 2026","Table 1 averages over four models × two datasets (FRAMES and MuSiQue). Requested token ceilings, not identical actual consumption. The token axis is logarithmic. Three of the seven evaluated methods are shown."
1000,41.8,37.9,38.8,https://arxiv.org/html/2604.02460v2,"Table 1, Average rows; v2, 11 April 2026","Table 1 averages over four models × two datasets (FRAMES and MuSiQue). Requested token ceilings, not identical actual consumption. The token axis is logarithmic. Three of the seven evaluated methods are shown."
2000,42.1,38.9,40.3,https://arxiv.org/html/2604.02460v2,"Table 1, Average rows; v2, 11 April 2026","Table 1 averages over four models × two datasets (FRAMES and MuSiQue). Requested token ceilings, not identical actual consumption. The token axis is logarithmic. Three of the seven evaluated methods are shown."
5000,42.7,38.6,42.0,https://arxiv.org/html/2604.02460v2,"Table 1, Average rows; v2, 11 April 2026","Table 1 averages over four models × two datasets (FRAMES and MuSiQue). Requested token ceilings, not identical actual consumption. The token axis is logarithmic. Three of the seven evaluated methods are shown."
10000,42.6,38.7,42.0,https://arxiv.org/html/2604.02460v2,"Table 1, Average rows; v2, 11 April 2026","Table 1 averages over four models × two datasets (FRAMES and MuSiQue). Requested token ceilings, not identical actual consumption. The token axis is logarithmic. Three of the seven evaluated methods are shown."
