Benchmark,Single agent,Best multi-agent,Selected architecture,Instances per configuration,Source,Source location,Comparison conditions
Finance Agent,0.349,0.631,Centralized,50,https://www.nature.com/articles/s42256-026-01268-y,Results: domain-dependent performance; July 2026 version of record,Mean scores across tested models. The best multi-agent architecture is selected separately for each benchmark. Matched system token ceilings; actual spending can differ. No pooled score or significance claim.
WorkBench,0.629,0.664,Decentralized,100,https://www.nature.com/articles/s42256-026-01268-y,Results: domain-dependent performance; July 2026 version of record,Mean scores across tested models. The best multi-agent architecture is selected separately for each benchmark. Matched system token ceilings; actual spending can differ. No pooled score or significance claim.
BrowseComp-Plus,0.318,0.347,Decentralized,100,https://www.nature.com/articles/s42256-026-01268-y,Results: domain-dependent performance; July 2026 version of record,Mean scores across tested models. The best multi-agent architecture is selected separately for each benchmark. Matched system token ceilings; actual spending can differ. No pooled score or significance claim.
PlanCraft,0.568,0.346,Hybrid,100,https://www.nature.com/articles/s42256-026-01268-y,Results: domain-dependent performance; July 2026 version of record,Mean scores across tested models. The best multi-agent architecture is selected separately for each benchmark. Matched system token ceilings; actual spending can differ. No pooled score or significance claim.
SWE-bench Verified,0.488,0.481,Hybrid,20,https://www.nature.com/articles/s42256-026-01268-y,Results: domain-dependent performance; July 2026 version of record,Mean scores across tested models. The best multi-agent architecture is selected separately for each benchmark. Matched system token ceilings; actual spending can differ. No pooled score or significance claim.
Terminal-Bench,0.312,0.331,Independent,20,https://www.nature.com/articles/s42256-026-01268-y,Results: domain-dependent performance; July 2026 version of record,Mean scores across tested models. The best multi-agent architecture is selected separately for each benchmark. Matched system token ceilings; actual spending can differ. No pooled score or significance claim.
